issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
Federal Home Loan Mortgage Corp.,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Chase Fdg Mtg Ln,Investment Grade,172.0,Bond - Asset Backed,Asset Backed,Developed
Chase Mortgage Financial Trust,Below Investment Grade,251.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Citigroup Mortgage Loan Trust,Investment Grade,0.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,80.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-16.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,114.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,-126.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,154.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Credit Suisse First Boston Mortgage Securities Corp.,Investment Grade,326.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,176.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,35.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,80.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,123.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,52.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Duke Fdg High Grade III Ltd / Inc,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,151.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,204.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,20.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,-4.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,28.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
CWMBS Inc,Below Investment Grade,1023.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Citigroup Mortgage Loan Trust,Below Investment Grade,670.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,95.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,171.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,239.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,13.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,776.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,280.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-136.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,184.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,62.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-102.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,146.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,80.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-200.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,59.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,181.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,33.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,27.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,52.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,35.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,107.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,82.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,52.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,27.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,161.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,161.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,59.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,Investment Grade,33.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,200.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,126.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,77.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,65.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,63.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,62.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,68.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,163.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,63.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,159.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,71.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,52.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,61.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,52.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Master Asset Securitization Trust,Below Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,223.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,108.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,73.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,158.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,60.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,32.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,71.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,70.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,62.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,166.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,154.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Buenos Aires (City Of),Below Investment Grade,,Bond - Sub-sovereign Government Debt,Government Related,Emerging
Great Hall Mortgages No.1 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Great Hall Mortgages No.1 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,527.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,133.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,68.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,163.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,31.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,30.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,-26.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,148.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,230.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,137.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Gnma Pass-Thru M Single Family,Investment Grade,32.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,33.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,163.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Cwalt Incorporation,Below Investment Grade,1692.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
,,,Bond - Global Non-Agency CMO,,
Cwalt Incorporation,Below Investment Grade,1778.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWMBS Inc,Below Investment Grade,1485.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
